sky130_fd_sc_hs__decap_8	VGND:I VNB:I VPB:I VPWR:I
Name	Formula	nd	ng	ns	nb	mname	w	l	mult	sa	sb	sd	topography	area	perim
MI1	MOSFET	VGND	VPWR	VNB	nfet_01v8_lvt	m=2	0.42	1.0	1	0.265	0.265	0.28	normal	0.063	1.14
MI2	MOSFET	VPWR	VGND	VPB	pfet_01v8	m=2	1.0	1.0	1	0.265	0.265	0.28	normal	0.063	1.14
